OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,cells_ml
Otu00023,LC-15point5m-E1,0.020475372,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,11978
Otu00039,LC-5m-E1,0.020468872,5,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,1774
Otu00051,LC-3m-E1,0.020250149,3,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1937
Otu00045,LC-5m-E1,0.020185566,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,1749
Otu00005,Cadagno15m-E2,0.019962026,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,18066
Otu00023,LC-17m-E1,0.019772177,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,8594
Otu00056,LC-11m-E1,0.019704633,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,2056
Otu00039,LC-3m-E1,0.019191318,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,1836
Otu00031,LC-11m-E1,0.01897633,11,104333.3333,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,1980
Otu00033,LC-17m-E1,0.018709792,17,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,8133
Otu00023,LC-19m-E1,0.018046957,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,7165
Otu00037,LC-9m-E1,0.017927762,9,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,uncultured,1309
Otu00002,LC-15point5m-E1,0.017754868,15.5,585000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,10387
Otu00022,Cadagno7m-E2,0.017718521,7,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,2788
Otu00009,LC-13m-E1,0.017440815,13,95333.33333,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,1663
Otu00090,LC-3m-E1,0.017437628,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1668
Otu00052,Cadagno15m-E2,0.017344897,15,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,15697
Otu00051,LC-5m-E1,0.017281677,5,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1498
Otu00043,LC-9m-E1,0.01704895,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,1245
Otu00005,LC-5m-E1,0.016502585,5,86666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,1430
Otu00018,LC-15point5m-E1,0.016323024,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,9549
Otu00047,LC-5m-E1,0.016290106,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,1412
Otu00013,Cadagno15m-E2,0.016164623,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,14629
Otu00038,Cadagno7m-E2,0.015964212,7,157333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,2512
Otu00061,LC-3m-E1,0.01565085,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,1497
Otu00046,LC-19m-E1,0.015418759,19,397000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,6121
Otu00062,LC-19m-E1,0.015360355,19,397000,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,6098
Otu00051,LC-9m-E1,0.015247386,9,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1113
Otu00047,LC-9m-E1,0.015115564,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,1103
Otu00002,LC-17m-E1,0.015050463,17,434666.6667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,6542
Otu00076,LC-19m-E1,0.014951524,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Lamprocystis,5936
Otu00026,LC-11m-E1,0.014727898,11,104333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,1537
