"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Abundance_P","AA_Genus","Phylum_Genus"
"77","Otu00008","LC-9m-E1",0.0248318903001802,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",2.48318903001802,1812.72799191315,"Cyanobacteria|Oxyphotobacteria_unclassified"
"113","Otu00014","LC-3m-E1",0.024783270465224,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",2.4783270465224,2370.93287458904,"Actinobacteria|acI_unclassified"
"244","Otu00039","LC-11m-E1",0.0243182002104071,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Luna1","Luna1-A",2.43182002104071,2537.19888780853,"Actinobacteria|Luna1-A"
"164","Otu00025","LC-9m-E1",0.023557333098932,9,73000,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acTH1","acTH1-A",2.3557333098932,1719.68531622204,"Actinobacteria|acTH1-A"
"112","Otu00014","LC-5m-E1",0.0233019335647001,5,86666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",2.33019335647001,2019.50090901834,"Actinobacteria|acI_unclassified"
"24","Otu00003","LC-13m-E1",0.022480666626701,13,95333.33333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",2.2480666626701,2143.1568850039,"Bacteroidetes|bacII-A"
"118","Otu00014","LC-13m-E1",0.0224207181823632,13,95333.33333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",2.24207181823632,2137.44179997722,"Actinobacteria|acI_unclassified"
"28","Otu00003","LC-15point5m-E1",0.0223784249031703,15.5,585000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",2.23784249031703,13091.3785683546,"Bacteroidetes|bacII-A"
"47","Otu00005","LC-17m-E1",0.0222406246303088,17,434666.6667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-B",2.22406246303088,9667.25817338223,"Proteobacteria|betI-B"
"233","Otu00038","LC-11m-E1",0.0219713522699684,11,104333.3333,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-A",2.19713522699684,2292.34441943433,"Proteobacteria|betI-A"
"43","Otu00005","LC-19m-E1",0.0218166929870738,19,397000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-B",2.18166929870738,8661.22711586828,"Proteobacteria|betI-B"
"281","Otu00047","LC-11m-E1",0.0218095006878692,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","bacIII","bacIII-A",2.18095006878692,2275.45790437404,"Bacteroidetes|bacIII-A"
"176","Otu00026","LC-15point5m-E1",0.0216611676947353,15.5,585000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",2.16611676947353,12671.7831014202,"Proteobacteria|betIV-A"
