Press_CTD1_29,Depth_m_CTD1_29,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,pH_CTD1_29
8.913,11.813,7.435,0.211,5.978,0.315,2.698,7.93
8.913,11.813,7.422,0.211,5.794,0.346,2.634,7.93
8.93,11.83,7.407,0.211,5.641,0.285,2.62,7.93
8.962,11.862,7.391,0.212,5.457,0.285,2.618,7.93
9.011,11.911,7.374,0.212,5.365,0.561,2.529,7.93
9.044,11.944,7.348,0.212,5.242,0.377,2.496,7.92
9.028,11.928,7.327,0.212,5.119,0.408,2.494,7.92
9.077,11.977,7.305,0.212,5.027,0.346,2.419,7.92
9.061,11.961,7.28,0.212,4.935,0.315,2.388,7.92
9.126,12.026,7.256,0.212,4.905,0.377,2.38,7.92
9.11,12.01,7.232,0.212,4.935,0.315,2.362,7.92
9.126,12.026,7.212,0.212,4.905,0.315,2.303,7.91
