"","Pressure_CTD2_29","Temperature_CTD2_29","Conductivity_CTD2_29","Oxygen_mg_L_CTD2_29","PAR_CTD2_29","Phycocyanin_CTD2_29","Depth_m_CTD2_29"
"572",-1.711,16.0744,0.1376,10.67,640.98236,2.65,0.179
"573",-1.711,16.0736,0.1375,10.68,641.21924,2.65,0.179
"574",-1.709,16.0735,0.1374,10.68,642.36279,2.71,0.181
"575",-1.71,16.073,0.1375,10.68,642.07855,2.71,0.18
"576",-1.713,16.0726,0.1378,10.68,641.06677,2.67,0.177
"577",-1.714,16.0723,0.1375,10.68,640.50275,2.67,0.176
"578",-1.715,16.0719,0.1373,10.68,640.51385,2.67,0.175
"579",-1.715,16.0713,0.1378,10.68,640.81293,2.72,0.175
"580",-1.714,16.0719,0.1377,10.67,641.65741,2.72,0.176
"581",-1.715,16.0723,0.1378,10.67,642.53082,2.72,0.175
"582",-1.715,16.0715,0.1379,10.66,642.46118,2.8,0.175
"583",-1.713,16.0714,0.1375,10.66,641.82245,2.8,0.177
"584",-1.714,16.071,0.1374,10.66,641.5257,2.8,0.176
"585",-1.711,16.0709,0.1375,10.66,641.841,2.75,0.179
"586",-1.714,16.0707,0.1379,10.65,642.45825,2.75,0.176
"587",-1.712,16.0715,0.1378,10.65,643.15326,2.75,0.178
"588",-1.707,16.0712,0.1373,10.65,643.02155,2.72,0.183
"589",-1.711,16.0717,0.1375,10.65,642.38867,2.72,0.179
"590",-1.71,16.0717,0.1374,10.65,641.44055,2.72,0.18
"591",-1.71,16.0711,0.1376,10.65,640.25555,2.7,0.18
"592",-1.711,16.0709,0.1377,10.65,639.51764,2.7,0.179
"593",-1.713,16.0709,0.1375,10.65,639.7619,2.7,0.177
"594",-1.714,16.071,0.1375,10.65,640.57605,3.19,0.176
"595",-1.716,16.0709,0.1377,10.64,641.30731,3.19,0.174
"596",-1.715,16.0711,0.1376,10.64,641.02454,2.86,0.175
"597",-1.711,16.0711,0.1375,10.64,640.42059,2.86,0.179
"598",-1.716,16.0704,0.1375,10.65,640.15491,2.86,0.174
"599",-1.713,16.071,0.1374,10.64,641.0061,2.66,0.177
"600",-1.711,16.0712,0.1374,10.64,642.34869,2.66,0.179
"601",-1.712,16.0712,0.1376,10.65,642.8313,2.66,0.178
"602",-1.71,16.0712,0.1369,10.65,641.62115,3.05,0.18
"603",-1.709,16.0708,0.1373,10.65,638.40961,3.05,0.181
"604",-1.717,16.0711,0.1374,10.65,635.47784,3.05,0.173
"605",-1.71,16.0711,0.1376,10.65,635.68585,2.91,0.18
"606",-1.712,16.0711,0.1376,10.65,637.66943,2.91,0.178
"607",-1.711,16.071,0.1375,10.65,638.61023,2.91,0.179
"608",-1.712,16.0711,0.137,10.64,637.5155,3.2,0.178
"609",-1.714,16.07,0.1373,10.64,635.85535,3.2,0.176
"610",-1.716,16.0702,0.1372,10.64,634.38391,3.2,0.174
"611",-1.714,16.0692,0.1372,10.64,634.03973,2.81,0.176
"612",-1.713,16.0698,0.137,10.64,635.2099,2.81,0.177
"613",-1.713,16.07,0.1374,10.64,636.37347,2.81,0.177
"614",-1.715,16.07,0.1376,10.64,636.69318,3.03,0.175
"615",-1.714,16.0697,0.1376,10.64,635.84277,3.03,0.176
"616",-1.712,16.0659,0.1375,10.64,633.98792,3.03,0.178
"617",-1.709,16.0603,0.1374,10.64,633.20782,2.72,0.181
"618",-1.711,16.0558,0.1377,10.64,634.94269,2.72,0.179
"619",-1.708,16.0527,0.1372,10.64,637.50812,2.55,0.182
