"","Press..dbar._CTD1_28","Depth_m_CTD1_28","Temp_CTD1_28","pH_CTD1_28","Turb_FTU_CTD1_28","Cond_ms_p_cm_CTD1_28","DO_mg_l_CTD1_28","Chl_A_ug_p_l_CTD1_28"
"315",1.83,3.68,15.87,9,0.22,0.1362,9.15,1.3
"316",1.82,3.67,15.87,9,0.37,0.1362,9.16,1.21
"317",1.82,3.67,15.87,9,0.46,0.1362,9.16,1.14
"318",1.82,3.67,15.87,9,0.43,0.1362,9.16,1.13
"319",1.82,3.67,15.87,9,0.28,0.1362,9.15,1.15
"320",1.82,3.67,15.87,9,0.15,0.1362,9.15,1.11
"321",1.82,3.67,15.87,9,0.12,0.1362,9.16,1.1
"322",1.83,3.68,15.87,9,0.12,0.1362,9.16,1.07
"323",1.84,3.69,15.87,9,0.15,0.1362,9.14,1.05
"324",1.84,3.69,15.87,9,0.19,0.1362,9.14,1.05
"325",1.83,3.68,15.87,9,0.15,0.1362,9.16,1.26
"326",1.82,3.67,15.88,9,0.12,0.1362,9.16,1.49
"327",1.83,3.68,15.87,9,0.12,0.1362,9.15,1.5
"328",1.82,3.67,15.87,9,0.12,0.1362,9.15,1.4
"329",1.83,3.68,15.87,9,0.12,0.1362,9.16,1.3
"330",1.82,3.67,15.87,9,0.12,0.1362,9.16,1.23
"331",1.84,3.69,15.87,9,0.12,0.1362,9.16,1.19
"332",1.84,3.69,15.87,9,0.12,0.1362,9.16,1.2
"333",1.84,3.69,15.87,9,0.12,0.1362,9.14,1.18
"334",1.84,3.69,15.87,9,0.12,0.1362,9.14,1.12
"335",1.84,3.69,15.87,9,0.12,0.1362,9.14,1.07
"336",1.83,3.68,15.87,9,0.09,0.1362,9.14,1.06
"337",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.11
"338",1.83,3.68,15.87,9,0.09,0.1362,9.14,1.18
"339",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.3
"340",1.83,3.68,15.87,9,0.09,0.1362,9.15,1.35
"341",1.82,3.67,15.87,9,0.09,0.1351,9.15,1.27
"342",1.83,3.68,15.87,9,0.09,0.1362,9.15,1.19
"343",1.83,3.68,15.87,9,0.09,0.1373,9.15,1.11
"344",1.84,3.69,15.87,9,0.09,0.1362,9.15,1.06
"345",1.83,3.68,15.87,9,0.12,0.1362,9.15,1.02
"346",1.84,3.69,15.87,9,0.09,0.1362,9.13,0.99
"347",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.02
"348",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.11
"349",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.16
"350",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.18
"351",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.19
"352",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.16
"353",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.11
"354",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.07
"355",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.04
"356",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.07
"357",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.13
"358",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.14
"359",1.83,3.68,15.87,9,0.12,0.1362,9.13,1.11
"360",1.85,3.7,15.87,9,0.12,0.1362,9.13,1.19
"361",1.85,3.7,15.87,9,0.12,0.1362,9.13,1.2
"362",1.86,3.71,15.87,9,0.12,0.1351,9.13,1.22
"363",1.88,3.73,15.87,9,0.15,0.1362,9.12,1.2
