Press..dbar._CTD1_28,Depth_m_CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28
1.86,3.71,15.87,9,0.12,0.1351,9.13,1.22
1.88,3.73,15.87,9,0.15,0.1362,9.12,1.2
1.9,3.75,15.87,9,0.12,0.1362,9.13,1.15
1.91,3.76,15.87,9,0.12,0.1362,9.12,1.08
1.94,3.79,15.87,9,0.15,0.1362,9.14,1.04
1.95,3.8,15.87,9,0.12,0.1362,9.14,1
1.98,3.83,15.87,9,0.12,0.1362,9.13,0.96
2,3.85,15.87,8.99,0.12,0.1362,9.13,0.93
2.02,3.87,15.86,8.99,0.12,0.1362,9.13,0.96
2.01,3.86,15.86,8.99,0.12,0.1362,9.13,1.01
2.01,3.86,15.86,8.99,0.12,0.1351,9.12,1.1
2.01,3.86,15.86,8.99,0.12,0.1362,9.12,1.13
2.02,3.87,15.86,8.99,0.12,0.1362,9.13,1.14
2.02,3.87,15.86,8.99,0.12,0.1362,9.13,1.14
2.03,3.88,15.86,8.99,0.12,0.1362,9.12,1.17
2.05,3.9,15.86,8.99,0.09,0.1362,9.12,1.12
2.05,3.9,15.86,8.99,0.15,0.1362,9.12,1.05
2.06,3.91,15.86,9,0.15,0.1362,9.12,1
2.06,3.91,15.86,8.99,0.12,0.1362,9.12,0.96
2.06,3.91,15.86,9,0.12,0.1362,9.12,0.93
2.07,3.92,15.86,9,0.12,0.1362,9.12,0.9
2.09,3.94,15.86,9,0.09,0.1362,9.11,0.91
2.11,3.96,15.86,9,0.12,0.1362,9.11,1
2.14,3.99,15.86,9,0.19,0.1362,9.11,1.04
2.16,4.01,15.86,9,0.15,0.1362,9.11,1.03
2.19,4.04,15.86,9,0.28,0.1362,9.11,0.99
2.21,4.06,15.86,9,0.25,0.1362,9.11,0.94
2.23,4.08,15.86,9,0.15,0.1351,9.12,0.91
2.27,4.12,15.86,9,0.15,0.1362,9.12,0.88
2.29,4.14,15.86,9,0.12,0.1351,9.11,0.87
2.32,4.17,15.85,9,0.12,0.1362,9.11,0.89
2.33,4.18,15.85,9,0.22,0.1362,9.11,0.9
2.35,4.2,15.85,9,0.25,0.1351,9.11,0.94
2.36,4.21,15.84,9,0.15,0.1362,9.12,1.02
2.39,4.24,15.83,9,0.12,0.1351,9.12,1.03
2.4,4.25,15.83,9,0.12,0.1362,9.13,1.04
2.42,4.27,15.83,9,0.12,0.1362,9.13,1.01
2.44,4.29,15.82,9,0.12,0.1362,9.13,0.99
2.46,4.31,15.82,9,0.09,0.1362,9.13,1.02
2.47,4.32,15.82,9,0.09,0.1351,9.13,1.06
2.49,4.34,15.81,9,0.12,0.1362,9.13,1.07
2.52,4.37,15.81,9,0.22,0.1362,9.13,1.09
2.53,4.38,15.81,9,0.15,0.1362,9.14,1.12
2.54,4.39,15.8,9,0.15,0.1362,9.14,1.16
2.55,4.4,15.8,9,0.37,0.1351,9.15,1.18
2.56,4.41,15.8,9,0.62,0.1362,9.15,1.15
2.58,4.43,15.8,9,0.31,0.1362,9.16,1.09
2.6,4.45,15.79,9,0.15,0.1362,9.16,1.04
2.61,4.46,15.79,9,0.12,0.1351,9.16,1.08
2.64,4.49,15.79,9,0.22,0.1351,9.16,1.14
2.66,4.51,15.78,9,0.15,0.1362,9.16,1.14
2.69,4.54,15.78,9,0.12,0.1362,9.17,1.1
2.71,4.56,15.77,9,0.09,0.1351,9.17,1.07
2.72,4.57,15.77,9,0.12,0.1351,9.18,1.23
2.73,4.58,15.76,9,0.12,0.1351,9.18,1.33
2.75,4.6,15.76,9,0.15,0.1351,9.16,1.31
2.76,4.61,15.76,9.01,0.12,0.1351,9.16,1.22
2.77,4.62,15.76,9.01,0.12,0.1351,9.17,1.13
2.79,4.64,15.75,9.01,0.12,0.1351,9.17,1.07
